Product: Custom Silver Necklace, Date: 2023-03-14, Sale Price: $71.22, Platform: Facebook, Likes: 85, Shares: 33, Comments: 28, Inquiries: 6,Sales: 3
Product: Custom Silver Necklace, Date: 2023-04-17, Sale Price: $60.3, Platform: Twitter, Likes: 142, Shares: 35, Comments: 44, Inquiries: 7,Sales: 1
Product: Organic Cotton Scarf, Date: 2023-05-02, Sale Price: $91.19, Platform: Twitter, Likes: 283, Shares: 63, Comments: 13, Inquiries: 14,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-03-20, Sale Price: $28.5, Platform: Instagram, Likes: 415, Shares: 21, Comments: 27, Inquiries: 11,Sales: 4
Product: Vintage Style Linen Dress, Date: 2023-04-12, Sale Price: $97.15, Platform: Twitter, Likes: 159, Shares: 34, Comments: 12, Inquiries: 10,Sales: 2
Product: Eco-Friendly Bamboo Clock, Date: 2023-04-16, Sale Price: $67.91, Platform: Facebook, Likes: 385, Shares: 50, Comments: 27, Inquiries: 14,Sales: 7
Product: Decorative Beaded Bracelet, Date: 2023-05-16, Sale Price: $46.45, Platform: Twitter, Likes: 353, Shares: 64, Comments: 36, Inquiries: 14,Sales: 2
Product: Handcrafted Wooden Bowl, Date: 2023-04-22, Sale Price: $81.62, Platform: Twitter, Likes: 434, Shares: 56, Comments: 5, Inquiries: 9,Sales: 1
Product: Natural Stone Coaster Set, Date: 2023-05-06, Sale Price: $99.97, Platform: Twitter, Likes: 129, Shares: 27, Comments: 23, Inquiries: 9,Sales: 1
Product: Custom Silver Necklace, Date: 2023-05-03, Sale Price: $68.96, Platform: Facebook, Likes: 223, Shares: 20, Comments: 30, Inquiries: 14,Sales: 7
Product: Eco-Friendly Bamboo Clock, Date: 2023-05-12, Sale Price: $70.41, Platform: Facebook, Likes: 485, Shares: 83, Comments: 35, Inquiries: 16,Sales: 8
Product: Artisan Glass Earrings, Date: 2023-05-29, Sale Price: $77.66, Platform: Instagram, Likes: 241, Shares: 85, Comments: 11, Inquiries: 15,Sales: 6
Product: Decorative Beaded Bracelet, Date: 2023-05-26, Sale Price: $58.52, Platform: Facebook, Likes: 293, Shares: 57, Comments: 49, Inquiries: 6,Sales: 3
Product: Organic Cotton Scarf, Date: 2023-05-08, Sale Price: $45.17, Platform: Facebook, Likes: 154, Shares: 45, Comments: 37, Inquiries: 15,Sales: 7
Product: Artisan Glass Earrings, Date: 2023-04-22, Sale Price: $36.99, Platform: Facebook, Likes: 166, Shares: 10, Comments: 47, Inquiries: 14,Sales: 7
Product: Personalized Leather Wallet, Date: 2023-05-09, Sale Price: $83.06, Platform: Twitter, Likes: 142, Shares: 83, Comments: 25, Inquiries: 5,Sales: 1
Product: Custom Silver Necklace, Date: 2023-03-10, Sale Price: $28.65, Platform: Twitter, Likes: 307, Shares: 86, Comments: 36, Inquiries: 13,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-03-29, Sale Price: $48.0, Platform: Facebook, Likes: 297, Shares: 43, Comments: 44, Inquiries: 12,Sales: 6
Product: Custom Silver Necklace, Date: 2023-04-01, Sale Price: $48.83, Platform: Facebook, Likes: 51, Shares: 88, Comments: 27, Inquiries: 14,Sales: 7
Product: Custom Silver Necklace, Date: 2023-05-02, Sale Price: $69.08, Platform: Instagram, Likes: 360, Shares: 91, Comments: 8, Inquiries: 2,Sales: 0
Product: Personalized Leather Wallet, Date: 2023-03-19, Sale Price: $62.3, Platform: Twitter, Likes: 121, Shares: 52, Comments: 28, Inquiries: 12,Sales: 2
Product: Natural Stone Coaster Set, Date: 2023-05-12, Sale Price: $80.29, Platform: Instagram, Likes: 129, Shares: 11, Comments: 43, Inquiries: 3,Sales: 1
Product: Handmade Ceramic Vase, Date: 2023-04-01, Sale Price: $62.65, Platform: Twitter, Likes: 344, Shares: 65, Comments: 17, Inquiries: 9,Sales: 1
Product: Natural Stone Coaster Set, Date: 2023-04-03, Sale Price: $35.44, Platform: Facebook, Likes: 423, Shares: 99, Comments: 7, Inquiries: 1,Sales: 0
Product: Handmade Ceramic Vase, Date: 2023-05-11, Sale Price: $62.51, Platform: Instagram, Likes: 120, Shares: 52, Comments: 28, Inquiries: 1,Sales: 0
Product: Handmade Ceramic Vase, Date: 2023-05-22, Sale Price: $81.5, Platform: Twitter, Likes: 225, Shares: 87, Comments: 11, Inquiries: 19,Sales: 3
Product: Handcrafted Wooden Bowl, Date: 2023-03-11, Sale Price: $92.53, Platform: Facebook, Likes: 76, Shares: 46, Comments: 20, Inquiries: 17,Sales: 8
Product: Decorative Beaded Bracelet, Date: 2023-04-06, Sale Price: $76.21, Platform: Facebook, Likes: 122, Shares: 56, Comments: 28, Inquiries: 17,Sales: 8
Product: Eco-Friendly Bamboo Clock, Date: 2023-03-09, Sale Price: $35.44, Platform: Facebook, Likes: 289, Shares: 28, Comments: 15, Inquiries: 6,Sales: 3
Product: Decorative Beaded Bracelet, Date: 2023-03-28, Sale Price: $35.13, Platform: Twitter, Likes: 473, Shares: 87, Comments: 19, Inquiries: 11,Sales: 2
Product: Handcrafted Wooden Bowl, Date: 2023-04-28, Sale Price: $70.6, Platform: Twitter, Likes: 94, Shares: 23, Comments: 50, Inquiries: 13,Sales: 2
Product: Personalized Leather Wallet, Date: 2023-04-22, Sale Price: $44.11, Platform: Facebook, Likes: 369, Shares: 94, Comments: 41, Inquiries: 6,Sales: 3
Product: Decorative Beaded Bracelet, Date: 2023-04-10, Sale Price: $42.3, Platform: Instagram, Likes: 440, Shares: 91, Comments: 35, Inquiries: 15,Sales: 6
Product: Organic Cotton Scarf, Date: 2023-03-16, Sale Price: $54.22, Platform: Facebook, Likes: 133, Shares: 34, Comments: 9, Inquiries: 10,Sales: 5
