Product,Date,Sale Price,Platform,Likes,Shares,Comments,Inquiries,Sales
Custom Silver Necklace,2023-03-14,71.22,Facebook,85,33,28,6,3
Custom Silver Necklace,2023-04-17,60.3,Twitter,142,35,44,7,1
Organic Cotton Scarf,2023-05-02,91.19,Twitter,283,63,13,14,2
Natural Stone Coaster Set,2023-03-20,28.5,Instagram,415,21,27,11,4
Vintage Style Linen Dress,2023-04-12,97.15,Twitter,159,34,12,10,2
Eco-Friendly Bamboo Clock,2023-04-16,67.91,Facebook,385,50,27,14,7
Decorative Beaded Bracelet,2023-05-16,46.45,Twitter,353,64,36,14,2
Handcrafted Wooden Bowl,2023-04-22,81.62,Twitter,434,56,5,9,1
Natural Stone Coaster Set,2023-05-06,99.97,Twitter,129,27,23,9,1
Custom Silver Necklace,2023-05-03,68.96,Facebook,223,20,30,14,7
Eco-Friendly Bamboo Clock,2023-05-12,70.41,Facebook,485,83,35,16,8
Artisan Glass Earrings,2023-05-29,77.66,Instagram,241,85,11,15,6
Decorative Beaded Bracelet,2023-05-26,58.52,Facebook,293,57,49,6,3
Organic Cotton Scarf,2023-05-08,45.17,Facebook,154,45,37,15,7
Artisan Glass Earrings,2023-04-22,36.99,Facebook,166,10,47,14,7
Personalized Leather Wallet,2023-05-09,83.06,Twitter,142,83,25,5,1
Custom Silver Necklace,2023-03-10,28.65,Twitter,307,86,36,13,2
Natural Stone Coaster Set,2023-03-29,48.0,Facebook,297,43,44,12,6
Custom Silver Necklace,2023-04-01,48.83,Facebook,51,88,27,14,7
Custom Silver Necklace,2023-05-02,69.08,Instagram,360,91,8,2,0
Personalized Leather Wallet,2023-03-19,62.3,Twitter,121,52,28,12,2
Natural Stone Coaster Set,2023-05-12,80.29,Instagram,129,11,43,3,1
Handmade Ceramic Vase,2023-04-01,62.65,Twitter,344,65,17,9,1
Natural Stone Coaster Set,2023-04-03,35.44,Facebook,423,99,7,1,0
Handmade Ceramic Vase,2023-05-11,62.51,Instagram,120,52,28,1,0
Handmade Ceramic Vase,2023-05-22,81.5,Twitter,225,87,11,19,3
Handcrafted Wooden Bowl,2023-03-11,92.53,Facebook,76,46,20,17,8
Decorative Beaded Bracelet,2023-04-06,76.21,Facebook,122,56,28,17,8
Eco-Friendly Bamboo Clock,2023-03-09,35.44,Facebook,289,28,15,6,3
Decorative Beaded Bracelet,2023-03-28,35.13,Twitter,473,87,19,11,2
Handcrafted Wooden Bowl,2023-04-28,70.6,Twitter,94,23,50,13,2
Personalized Leather Wallet,2023-04-22,44.11,Facebook,369,94,41,6,3
Decorative Beaded Bracelet,2023-04-10,42.3,Instagram,440,91,35,15,6
Organic Cotton Scarf,2023-03-16,54.22,Facebook,133,34,9,10,5
Decorative Beaded Bracelet,2023-03-20,41.95,Twitter,140,94,43,5,1
Artisan Glass Earrings,2023-04-19,88.48,Facebook,175,22,35,8,4
Eco-Friendly Bamboo Clock,2023-03-27,38.38,Instagram,491,14,49,1,0
Artisan Glass Earrings,2023-05-06,41.16,Instagram,335,72,30,8,3
Personalized Leather Wallet,2023-04-18,26.16,Twitter,255,58,23,4,0
Natural Stone Coaster Set,2023-04-07,44.68,Twitter,343,41,42,12,2
Artisan Glass Earrings,2023-03-02,75.33,Instagram,496,16,24,2,0
Vintage Style Linen Dress,2023-03-25,60.27,Twitter,163,61,39,13,2
Artisan Glass Earrings,2023-04-03,90.37,Facebook,171,16,8,14,7
Handcrafted Wooden Bowl,2023-05-10,76.51,Twitter,406,70,26,18,3
Custom Silver Necklace,2023-04-08,30.74,Facebook,53,33,21,6,3
Custom Silver Necklace,2023-05-20,41.63,Facebook,279,54,15,7,3
Personalized Leather Wallet,2023-03-05,41.19,Instagram,102,36,31,16,6
Eco-Friendly Bamboo Clock,2023-04-27,56.03,Facebook,201,41,19,14,7
Natural Stone Coaster Set,2023-03-02,42.62,Instagram,415,75,12,9,3
Handcrafted Wooden Bowl,2023-04-13,83.47,Twitter,218,13,8,10,2
Decorative Beaded Bracelet,2023-05-12,21.64,Facebook,114,77,13,3,1
Custom Silver Necklace,2023-03-04,31.59,Twitter,395,36,47,15,3
Artisan Glass Earrings,2023-03-28,67.74,Instagram,65,70,47,14,5
Organic Cotton Scarf,2023-04-01,84.35,Facebook,491,71,11,14,7
Custom Silver Necklace,2023-04-29,84.56,Instagram,493,29,7,3,1
Handmade Ceramic Vase,2023-04-25,32.87,Twitter,446,56,40,1,0
Artisan Glass Earrings,2023-03-25,43.02,Facebook,73,57,36,12,6
Vintage Style Linen Dress,2023-03-11,28.35,Facebook,182,95,31,0,0
Handcrafted Wooden Bowl,2023-03-08,66.35,Twitter,114,89,23,5,1
Handcrafted Wooden Bowl,2023-03-01,74.01,Facebook,431,94,44,7,3
Artisan Glass Earrings,2023-04-01,61.44,Twitter,361,56,33,18,3
Handmade Ceramic Vase,2023-05-20,27.75,Instagram,214,68,28,17,6
Eco-Friendly Bamboo Clock,2023-05-20,75.84,Facebook,202,99,9,19,9
Organic Cotton Scarf,2023-04-29,95.83,Facebook,233,67,31,14,7
Natural Stone Coaster Set,2023-05-05,86.33,Instagram,149,55,6,1,0
Eco-Friendly Bamboo Clock,2023-05-02,64.61,Twitter,239,45,46,17,3
Organic Cotton Scarf,2023-05-08,71.84,Facebook,288,54,20,9,4
Organic Cotton Scarf,2023-04-22,41.67,Twitter,169,60,42,9,1
Handcrafted Wooden Bowl,2023-04-06,79.67,Facebook,399,66,8,17,8
Custom Silver Necklace,2023-03-26,84.08,Facebook,71,37,24,13,6
Handmade Ceramic Vase,2023-05-30,29.1,Instagram,142,66,24,13,5
Eco-Friendly Bamboo Clock,2023-03-17,91.42,Twitter,273,41,42,19,3
Decorative Beaded Bracelet,2023-03-11,57.79,Twitter,310,44,13,2,0
Personalized Leather Wallet,2023-04-26,24.89,Twitter,116,62,18,9,1
Natural Stone Coaster Set,2023-05-19,96.85,Twitter,273,36,47,14,2
Artisan Glass Earrings,2023-05-17,99.5,Twitter,394,13,31,18,3
Organic Cotton Scarf,2023-03-02,77.14,Twitter,210,81,13,20,4
Custom Silver Necklace,2023-05-21,44.34,Twitter,485,65,20,6,1
Decorative Beaded Bracelet,2023-05-06,34.59,Twitter,111,24,39,5,1
Handcrafted Wooden Bowl,2023-04-03,97.74,Twitter,112,33,32,15,3
Handmade Ceramic Vase,2023-04-08,22.55,Instagram,75,68,11,4,1
Decorative Beaded Bracelet,2023-05-04,58.46,Instagram,492,67,21,5,2
Artisan Glass Earrings,2023-05-03,49.77,Instagram,349,73,9,5,2
Eco-Friendly Bamboo Clock,2023-05-20,88.68,Instagram,430,29,36,5,2
Custom Silver Necklace,2023-05-11,52.33,Twitter,176,72,37,17,3
Handmade Ceramic Vase,2023-03-18,38.35,Twitter,370,31,19,14,2
Decorative Beaded Bracelet,2023-05-02,83.04,Instagram,166,20,50,10,4
Eco-Friendly Bamboo Clock,2023-04-01,83.09,Instagram,229,55,46,8,3
Vintage Style Linen Dress,2023-04-19,82.56,Instagram,273,68,47,10,4
Decorative Beaded Bracelet,2023-04-03,45.1,Instagram,155,45,22,6,2
